question,super_category,English_translated,English_Paraphrase,French_Paraphrase
Je me lance dans la vie. Je vis seul(e). Je travaille. Comment puis-je contester le montant que je dois payer ?,Droit financier,I go into life. I live alone. I work. How can I contest the amount I have to pay?,I work and live alone. How can I challenge the amount I have to pay?,Je travaille et je vis seul. Comment puis-je contester le montant que je dois payer?
Ai-je droit à l'aide juridique (ex pro deo) si je suis étranger ?,Droit pénal,Am I entitled to legal aid (ex pro deo) if I am a foreigner?,"If I am a foreigner, am I entitled to legal aid?","Si je suis un étranger, ai-je droit à l'aide juridique?"
"Nous sommes mariés, quel nom portera notre enfant ?",Droit de la famille,"We're married, what name will our child bear?","We're married, what will our child's name be?","Nous sommes mariés, quel sera le nom de notre enfant ?"
Mon propriétaire peut-il mettre d'initiative mes meubles à la rue en Wallonie ?,Droit immobilier,Can my owner initiate my furniture on the street in Wallonia?,Can my owner start my furniture on the street in Wallonia?,Mon propriétaire peut-il commencer mes meubles dans la rue en Wallonie ?
Comment récupérer la garantie locative à Bruxelles ?,Droit immobilier,How to recover the rental guarantee in Brussels?,How to get the rental guarantee in Brussels?,Comment obtenir la garantie de location à Bruxelles ?
Le tuteur est-il obligé d'accepter sa désignation ?,Droit de la famille,Is the guardian obliged to accept his designation?,Is the guardian obliged to accept his designation?,Le tuteur est-il tenu d'accepter sa désignation?
Quel est le coût de l'huissier de justice ?,Droit pénal,What is the cost of the judicial officer?,What is the cost of the judicial officer?,Quel est le coût de l'huissier de justice?
Quels sont les revenus pris en compte pour l'aide juridique si je vis avec mes enfants ?,Droit pénal,What income is considered for legal aid if I live with my children?,"If I live with my children, what income is considered for legal aid?","Si je vis avec mes enfants, quel revenu est considéré pour l'aide juridique?"
Quelle est la durée d'un bail de colocation à Bruxelles ?,Droit immobilier,What is the duration of a rental lease in Brussels?,What is the duration of a rental lease?,Quelle est la durée d'un bail de location?
Je vis en couple. A qui appartiennent les différents biens si nous vivons en union libre ?,Droit de la famille,I live as a couple. Who owns the different property if we live in a common-law relationship?,I live with my partner in a common-law relationship.,Je vis avec mon partenaire dans une union de fait.
Je suis propriétaire. Mon locataire n'a pas payé sa facture d'eau. Qu'est-ce que je risque en Wallonie ?,Droit financier,My tenant didn't pay his water bill.,My tenant didn't pay his water bill.,Mon locataire n'a pas payé sa facture d'eau.
Le propriétaire ne me rembourse pas le surplus de mes provisions de charges. Quel est mon recours à Bruxelles ?,Droit immobilier,The owner does not reimburse me for the excess of my expenses. What is my use in Brussels?,The owner doesn't reimburse me for the excess of my expenses.,Le propriétaire ne me rembourse pas pour l'excédent de mes dépenses.
J'ai commis une infraction. Puis-je me faire assister par mon avocat pour l’audition à la police ?,Droit pénal,"I've committed an offence, can I have my lawyer assist me in the police hearing?",Can my lawyer help me in the police hearing?,Mon avocat peut-il m'aider à l'audience de police ?
Dois-je installer des détecteurs incendie à Bruxelles ?,Droit immobilier,Do I have to install fire detectors in Brussels?,Do I have to install fire detectors in the city?,Dois-je installer des détecteurs d'incendie en ville ?
Je suis propriétaire. Dois-je installer des détecteurs incendie en Wallonie ?,Droit financier,Do I have to install fire detectors in Wallonia?,Do I have to install fire detectors in Wallonia?,Dois-je installer des détecteurs d'incendie en Wallonie ?
Puis-je faire une donation de tous mes biens à ma filleule ?,Droit financier,Can I donate all my belongings to my goddaughter?,Can I give my belongings to my goddaughter?,Puis-je donner mes affaires à ma filleule ?
Je suis en séjour illégal en Belgique (sans papiers). Je suis en séjour illégal. Ai-je droit à un avocat ?,Droit des étrangers,I am illegally staying in Belgium (undocumented). I am in an illegal stay. Do I have the right to a lawyer?,Do I have the right to a lawyer?,Est-ce que j'ai droit à un avocat ?
"J'ai signé une déclaration de cohabitation légale. En tant que cohabitant légal, dois-je contribuer aux frais de ménage si je n’ai pas ou peu de ressources ?",Droit de la famille,"I have signed a declaration of legal cohabitation. As a legal cohabitant, do I have to contribute to household expenses if I do not have or few resources?",Do I have to contribute to household expenses if I don't have a lot of money?,Dois-je contribuer aux dépenses du ménage si je n'ai pas beaucoup d'argent?
Je suis parent. Comment puis-je déterminer le montant de la contribution alimentaire ?,Droit de la famille,I am a parent. How do I determine the amount of the support contribution?,I am a parent and I don't know how to determine the amount of support contribution.,Je suis un parent et je ne sais pas comment déterminer le montant de la contribution de soutien.
Je suis tuteur. Dois-je rendre des comptes à quelqu'un en tant que tuteur MENA ?,Droit des étrangers,Do I have to be accountable to someone as a MENA guardian?,Do I have to be accountable to someone?,Dois-je rendre des comptes à quelqu'un ?
Qu’est-ce que la médiation pénale ?,Droit pénal,What is criminal mediation?,What is criminal mediation?,Qu'est-ce que la médiation criminelle?
Les père et mère de l'enfant résident ensemble. Qui peut prendre les décisions concernant l'enfant si les parents vivent ensemble ?,Droit de la famille,The child's father and mother reside together. Who can make decisions about the child if the parents live together?,The child's father and mother live together.,Le père et la mère de l'enfant vivent ensemble.
A-t-on droit à l'allocation de naissance en cas de fausse couche ou d'enfant mort-né à Bruxelles ?,Droit de la protection sociale,Is there a right to a birth allowance in case of miscarriage or stillborn in Brussels?,Is there a right to a birth allowance in case of a stillborn?,Y a-t-il droit à une allocation de naissance en cas de mort-né?
Où trouver un modèle de requête en matière de bail ?,Droit immobilier,Where can I find a lease request template?,Where can I find a lease request template?,Où puis-je trouver un modèle de demande de bail?
Quel bail est considéré comme un bail 9 ans à Bruxelles ?,Droit immobilier,What lease is considered a 9-year lease in Brussels?,Is a 9-year lease in Brussels considered a lease?,Un bail de 9 ans à Bruxelles est-il considéré comme un bail?
Le juge peut-il m'accorder un délai de paiement si je ne rembourse pas l'argent prêté ?,Droit financier,Can the judge grant me a payment period if I don't repay the money loaned?,Can the judge give me a payment period if I don't repay the money?,Le juge peut-il me donner un délai de paiement si je ne rembourse pas l'argent ?
Qui doit déclarer la naissance ?,Droit de la protection sociale,Who has to declare the birth?,Who is responsible for declaring the birth?,Qui est responsable de la déclaration de la naissance?
Mon propriétaire peut-il mettre tous les frais qu’il veut à ma charge à Bruxelles ?,Droit immobilier,Can my owner charge me all the costs he wants in Brussels?,Can my owner charge me all the costs he wants?,Est-ce que mon propriétaire peut me facturer tous les frais qu'il veut ?
Quand le juge de paix peut-il mettre fin au bail à Bruxelles ?,Droit immobilier,When can the justice of the peace terminate the lease in Brussels?,When can the justice of the peace end the lease?,Quand la justice de la paix peut-elle mettre fin au bail ?
"Si je ne paie plus mon crédit à la consommation, suis-je fiché à la Banque nationale ?",Droit financier,"If I don't pay my consumer credit anymore, am I registered with the National Bank?",Do I have to register with the National Bank if I don't pay my consumer credit anymore?,Dois-je m'inscrire auprès de la Banque nationale si je ne paie plus mon crédit à la consommation?
Je suis témoin d'une infraction. Qu’est-ce que je risque si je ne dis pas la vérité à mon audition à la police en tant que témoin ?,Droit pénal,What if I don't tell the truth at my police hearing as a witness?,What if I don't tell the truth at the police hearing?,Et si je ne dis pas la vérité à l'audience de police ?
Puis-je ne pas payer mes 2 derniers mois de loyer pour m'assurer de récupérer la garantie locative à Bruxelles ?,Droit immobilier,Can I not pay my last 2 months of rent to make sure I recover the rental guarantee in Brussels?,Can I not pay my last two months of rent in order to get the rental guarantee?,Puis-je ne pas payer mes deux derniers mois de loyer pour obtenir la garantie de location?
Je vis avec ma famille en Belgique. Je me marie. Je suis étranger: peut-on demander l'annulation de notre mariage ?,Droit des étrangers,I live with my family in Belgium. I am married. I am a foreigner: can we ask for the annulment of our marriage?,I live with my family in Belgium.,Je vis avec ma famille en Belgique.
Où demander mon extrait de casier judiciaire ?,Droit pénal,Where do I ask for my criminal record?,Where do I get my criminal record?,Où puis-je obtenir mon casier judiciaire ?
Je suis majeur. Je fais valoir des mérites exceptionnels. Que faire si je n'ai pas d'acte de naissance pour ma demande de nationalité ?,Droit des étrangers,What if I don't have a birth certificate for my application for citizenship?,What if I don't have a birth certificate when I apply for citizenship?,Et si je n'ai pas d'acte de naissance quand je demande la citoyenneté ?
Quels types de décisions relèvent de l'autorité parentale ?,Droit de la famille,What types of decisions are under parental authority?,What decisions are under parental authority?,Quelles sont les décisions qui relèvent de l'autorité parentale?
En quoi suis-je responsable de mon enfant ?,Droit de la famille,How am I responsible for my child?,How am I responsible for my child?,Comment suis-je responsable de mon enfant ?
Je vis en couple. A qui appartient la maison construite ensemble sur mon terrain ?,Droit de la famille,I live as a couple. Who owns the house built together on my land?,I live with my partner in a house on my land.,Je vis avec mon partenaire dans une maison sur ma terre.
Comment récupérer la garantie locative à Bruxelles ?,Droit immobilier,How to recover the rental guarantee in Brussels?,How to get the rental guarantee in Brussels?,Comment obtenir la garantie de location à Bruxelles ?
Qu'est-ce que l'enquête de salubrité et de surpeuplement en Wallonie ?,Droit immobilier,What is the health and overcrowding survey in Wallonia?,What is the health and overcrowding survey in Wallonia?,Quelle est l'enquête sur la santé et le surpeuplement en Wallonie?
Peut-on saisir tous mes revenus si je ne paie pas ma contribution alimentaire ?,Droit financier,Can I get all my income if I don't pay my food contribution?,"If I don't pay my food contribution, can I get all my income?","Si je ne paie pas ma contribution alimentaire, puis-je obtenir tous mes revenus?"
Puis-je ne pas payer mes 2 derniers mois de loyer pour m'assurer de récupérer la garantie locative à Bruxelles ?,Droit immobilier,Can I not pay my last 2 months of rent to make sure I recover the rental guarantee in Brussels?,Can I not pay my last two months of rent in order to get the rental guarantee?,Puis-je ne pas payer mes deux derniers mois de loyer pour obtenir la garantie de location?
Les parents ne sont pas mariés ensemble. La mère de l'enfant est mariée à quelqu'un d'autre que le père. Puis-je être considéré comme le père de mon enfant décédé à la naissance ?,Droit de la famille,The parents are not married together. The mother of the child is married to someone other than the father. Can I be considered the father of my child who died at birth?,The parents of a child are not married to each other.,Les parents d'un enfant ne sont pas mariés.
"Je reçois les confidences en tant que professionnel. Je travaille dans un CPAS, dois-je communiquer spontanément au procureur du Roi des soupçons de radicalisation ou de terrorisme ?",Droit du travail,"I receive the confidences as a professional. I work in a CPAS, should I spontaneously communicate to the King's prosecutor suspicions of radicalization or terrorism?",I am a professional and should I speak to the King's prosecutor about radicalization or terrorism?,Je suis un professionnel et devrais-je parler au procureur du Roi de la radicalisation ou du terrorisme ?
"Notre propriétaire n'effectue pas les réparations, que faire à Bruxelles ?",Droit immobilier,"Our owner doesn't do the repairs, what to do in Brussels?","Our owner doesn't do the repairs, what to do in Brussels?","Notre propriétaire ne fait pas les réparations, que faire à Bruxelles ?"
Le propriétaire peut-il réclamer l’entièreté du loyer à un seul colocataire à Bruxelles ?,Droit immobilier,Can the owner claim the entire rent from a single roommate in Brussels?,Can the owner claim the entire rent from a single roommate?,Le propriétaire peut-il réclamer l'intégralité du loyer d'un colocataire célibataire?
Mon loyer peut-il être indexé à Bruxelles ?,Droit immobilier,Can my rent be indexed in Brussels?,Can my rent be calculated in Brussels?,Mon loyer peut-il être calculé à Bruxelles ?
Je deviens cohabitant légal. Nous sommes inscrits à la même adresse. Sommes-nous cohabitants légaux ?,Droit de la famille,I'm becoming a legal cohabitant. We're registered at the same address. Are we legal cohabitants?,We're both registered at the same address.,Nous sommes tous les deux enregistrés à la même adresse.
Que fait le médiateur de dettes lorsqu'il a été désigné ?,Droit financier,What does the debt mediator do when he has been appointed?,"When a debt mediator is appointed, what does he do?","Quand un médiateur de la dette est nommé, qu'est-ce qu'il fait?"
Je suis majeur. Je séjourne en Belgique depuis au moins 5 ans. Puis-je introduire un recours en cas d'avis négatif concernant ma demande de nationalité ?,Droit des étrangers,I am an adult. I have been in Belgium for at least 5 years. Can I bring an action in the event of a negative opinion concerning my application for nationality?,Can I bring an action in the event of a negative opinion regarding my application for nationality?,Puis-je introduire une action en cas d'avis négatif concernant ma demande de nationalité?
Les régimes de protection des personnes fragilisées ?,Droit de la protection sociale,The protection of vulnerable people?,The protection of vulnerable people?,La protection des personnes vulnérables?
Peut-on prévoir à l'avance toutes les modalités d'hébergement des enfants ?,Droit de la famille,Can all arrangements for the accommodation of children be foreseen in advance?,Can all the arrangements for the accommodations of children be made in advance?,Toutes les dispositions relatives à l'hébergement des enfants peuvent-elles être prises à l'avance?
Je divorce. Je divorce par consentement mutuel. Comment introduire une demande de divorce une fois nos conventions rédigées ?,Droit de la famille,I divorce. I divorce by mutual consent. How can I apply for a divorce once our agreements have been drafted?,"Once our agreements have been drafted, how can I apply for a divorce?","Une fois nos ententes rédigées, comment puis-je demander le divorce?"
Faut-il prendre un avocat pour aller au tribunal du travail contre un CPAS ?,Droit de la protection sociale,Should we get a lawyer to go to the labour court against a CPAS?,Should we get a lawyer to represent us in the labour court?,Devrions-nous avoir un avocat pour nous représenter au tribunal du travail ?
Que puis-je faire si je ne suis pas d'accord avec le plan ?,Droit financier,What can I do if I disagree with the plan?,"If I disagree with the plan, what can I do?","Si je ne suis pas d'accord avec le plan, que puis-je faire ?"
La personne protégée peut-elle prendre un abonnement ?,Droit de la famille,Can the protected person take a subscription?,Can the person take a subscription?,La personne peut-elle souscrire un abonnement?
Je divorce. Je divorce pour cause de désunion irrémédiable. Quand serons-nous officiellement divorcés (divorce pour cause de désunion irrémédiable) ?,Droit de la famille,I divorce. I divorce because of irretrievable disunity. When will we be officially divorced (divorce because of irretrievable disunity)?,I divorce because of irretrievable disunity.,Je divorce à cause d'une désunion irrémédiable.
Mon administrateur peut-il m'interdire de conduire ?,Droit de la famille,Can my administrator forbid me to drive?,Can my administrator stop me from driving?,Mon administrateur peut-il m'empêcher de conduire ?
J'introduis une demande en justice. Comment se passe la procédure en appel ?,Droit pénal,How's the appeal going?,How is the appeal going?,Comment va l'appel ?
Est-ce que je dois installer des détecteurs incendie en Wallonie ?,Droit immobilier,Do I have to install fire detectors in Wallonia?,Do I have to install fire detectors in Wallonia?,Dois-je installer des détecteurs d'incendie en Wallonie ?
Je souhaite divorcer par consentement mutuel. Comment fixer le montant de la pension alimentaire ?,Droit de la famille,I wish to divorce by mutual consent. How do I determine the amount of maintenance?,I want to divorce by mutual consent. How do I determine the amount of maintenance?,Je veux divorcer par consentement mutuel. Comment puis-je déterminer le montant de la pension alimentaire?
Je me sépare. Quelles sont les conséquences de notre séparation en ce qui concerne nos enfants ?,Droit de la famille,What are the consequences of our separation with regard to our children?,What are the consequences of our separation from our children?,Quelles sont les conséquences de notre séparation avec nos enfants?
Je suis travailleuse salariée. Puis-je refuser de faire des heures supplémentaires ou de travailler de nuit ?,Droit de la protection sociale,Can I refuse to work overtime or to work at night?,Can I refuse to work overtime or at night?,Puis-je refuser de faire des heures supplémentaires ou la nuit?
Où trouver un médiateur de dettes amiable ?,Droit financier,Where can I find an amicable debt mediator?,Where can I find a debt broker?,Où puis-je trouver un courtier en dettes ?
Mon propriétaire peut-il me réclamer des arriérés d'indexation de loyer à Bruxelles ?,Droit immobilier,Can my owner claim any rent indexing arrears in Brussels?,Is it possible for my owner to claim rent arrears in Brussels?,Est-il possible pour mon propriétaire de réclamer des arriérés de loyer à Bruxelles?
Qui décide d’accorder la prorogation pour circonstances exceptionnelles à Bruxelles ?,Droit immobilier,Who decides to grant the extension for exceptional circumstances in Brussels?,Who decides to grant the extension for exceptional circumstances?,Qui décide d'accorder la prolongation pour des circonstances exceptionnelles?
J'ai été condamné à une peine de prison. Que se passe-t-il une fois que la surveillance électronique a été octroyée ?,Droit pénal,I was sentenced to a prison sentence. What happens once electronic surveillance has been granted?,I was sentenced to a prison sentence.,J'ai été condamné à une peine de prison.
Je suis marié(e). Puis-je louer ou vendre notre maison sans l'accord de mon conjoint ?,Droit de la famille,I am married.Can I rent or sell our house without the consent of my spouse?,Can I rent or sell our house without my spouse's consent?,Puis-je louer ou vendre notre maison sans le consentement de mon conjoint?
Je me lance dans la vie. Je vis chez mes parents. Je travaille. Comment puis-je contester le montant que je dois payer ?,Droit financier,I'm getting into life. I live with my parents. I work. How can I dispute the amount I have to pay?,I live with my parents and work. How can I challenge the amount I have to pay?,Je vis avec mes parents et je travaille. Comment puis-je contester le montant que je dois payer?
Qui doit payer les frais funéraires ?,Droit financier,Who has to pay funeral expenses?,Who has to pay for funeral expenses?,Qui doit payer les frais funéraires?
Qui décide de ma sanction si je me fais prendre avec du cannabis sur moi ?,Droit pénal,Who decides my punishment if I get caught with cannabis on me?,"If I get caught with cannabis, who decides my punishment?","Si je me fais prendre avec du cannabis, qui décide de ma punition ?"
"Mon conjoint est décédé, je dois payer le loyer mais le compte est bloqué. Que faire ?",Droit financier,"My spouse died, I have to pay the rent but the account is blocked.","My spouse died and I have to pay the rent, but the account is blocked.","Mon conjoint est mort et je dois payer le loyer, mais le compte est bloqué."
Qu’est-ce que je risque si je me fais prendre à voler un i-pod dans la poche d’un passant ?,Droit pénal,What if I get caught stealing an i-pod from a passerby's pocket?,What if I am caught stealing from a person?,Et si on me prend pour un voleur ?
Comment savoir si mon logement est surpeuplé ?,Droit immobilier,How do I know my housing is overcrowded?,How do I know my house is overcrowded?,Comment savoir si ma maison est surpeuplée ?
Que peut faire l'enfant en cas de conflit avec son tuteur ?,Droit de la famille,What can the child do in the event of a conflict with his or her guardian?,"In the event of a conflict with his or her guardian, what can the child do?","En cas de conflit avec son tuteur, que peut faire l'enfant?"
Qui organise et paie les funérailles lorsqu’il n’y a pas d’héritier ?,Droit financier,Who organizes and pays the funeral when there is no heir?,"When there is no heir, who organizes and pays the funeral?","Quand il n'y a pas d'héritier, qui organise et paie les funérailles ?"
Je loue un garage. Quelles règles s'appliquent à mon bail en Wallonie ?,Droit immobilier,What rules apply to my lease in Wallonia?,What rules apply to my lease in Wallonia?,Quelles règles s'appliquent à mon bail en Wallonie ?
Je me sépare. Quand le tribunal de la famille peut-il intervenir pour des mesures urgentes et provisoires ?,Droit de la famille,When can the family court intervene for urgent and temporary measures?,The family court can intervene for urgent and temporary measures.,Le tribunal de la famille peut intervenir pour des mesures urgentes et temporaires.
Je suis grand-parent. Ai-je droit à des contacts avec mes petits-enfants ?,Droit de la famille,"I'm a grandparent, do I have any contact with my grandchildren?",Do I have any contact with my grandsons?,Ai-je des contacts avec mes petits-fils ?
Je me sépare. Peut-on se séparer d'un commun accord sans déclaration de fin de cohabitation légale ?,Droit de la famille,Can we split up by mutual agreement without a declaration of termination of legal cohabitation?,Is it possible to split up by mutual agreement without a declaration of legal cohabitation?,Est-il possible de se séparer d'un commun accord sans déclaration de cohabitation légale?
Comment demander un règlement collectif de dettes (RCD) et à qui s'adresser ?,Droit financier,How to apply for a collective debt settlement (CDR) and to whom to contact?,How can I apply for a collective debt settlement?,Comment puis-je demander un règlement collectif de la dette?
"Les parents ne sont pas mariés ensemble. La mère de l'enfant est mariée à quelqu'un d'autre que le père. Quelles démarches pour reconnaître l'enfant si la mère de l'enfant et son mari résident ensemble ou, séparés, sont domiciliés à la même adresse ?",Droit de la famille,"The parents are not married together. The mother of the child is married to someone other than the father. What steps to recognize the child if the mother of the child and her husband reside together or, separated, are domiciled at the same address?",The parents of a child are not married to each other.,Les parents d'un enfant ne sont pas mariés.
Qui peut être entendu par le juge de paix lors de la procédure de mise sous administration de biens et/ou de la personne ?,Droit de la famille,Who can be heard by the justice of the peace in the process of placing property and/or the person under administration?,Who can be heard in the process of placing property by the justice of the peace?,Qui peut être entendu dans le processus de placement de biens par le juge de paix?
Quel est le rôle de la police en ce qui concerne les infractions ?,Droit pénal,What is the role of the police with regard to offences?,What is the role of the police?,Quel est le rôle de la police?
"Les père et mère de l'enfant résident ensemble. L'école, le médecin, etc. doivent-ils toujours demander l'accord des 2 parents pour les décisions concernant l'enfant ?",Droit de la famille,"The child's father and mother reside together. Do the school, doctor, etc. still have to ask for the consent of both parents for decisions concerning the child?",The child's father and mother reside together.,Le père et la mère de l'enfant résident ensemble.
Le propriétaire peut-il m'envoyer un décompte des charges deux ans après la fin de mon bail en Wallonie ?,Droit immobilier,Can the owner send me a bill of charges two years after the end of my lease in Wallonia?,"Two years after my lease ends in Wallonia, can the owner send me a bill of charges?","Deux ans après la fin de mon bail en Wallonie, le propriétaire peut-il m'envoyer une facture ?"
Je mets un appartement ou une maison en location (bail de résidence principale). Comment faire pour expulser mon locataire en Wallonie ?,Droit immobilier,I put an apartment or a house for rent (main residence lease).How do I evict my tenant in Wallonia?,I put an apartment or a house for rent in Wallonia. How do I evict my tenant?,J'ai mis un appartement ou une maison à louer en Wallonie.
A quoi sert la garantie locative à Bruxelles ?,Droit immobilier,What is the use of the rental guarantee in Brussels?,What is the use of the rental guarantee?,Quelle est l'utilisation de la garantie de location?
J'ai signé une déclaration de cohabitation légale. Nous sommes cohabitants légaux. Dois-je reconnaître notre enfant ?,Droit de la famille,I signed a declaration of legal cohabitation. We are legal cohabitants. Do I have to recognize our child?,I signed a declaration that we are legal cohabitants.,J'ai signé une déclaration selon laquelle nous sommes des cohabitants légaux.
Je suis parent. Mon ex ne paie plus la contribution alimentaire. Risque-t-il l'emprisonnement ?,Droit de la famille,"I'm a parent, my ex doesn't pay the food contribution anymore, does he risk imprisonment?","I'm a parent, my ex doesn't pay the food contribution anymore, does he risk imprisonment?","Je suis un parent, mon ex ne paie plus la contribution alimentaire, risque-t-il d'être emprisonné ?"
Je mets un appartement ou une maison en location (bail de résidence principale). Puis-je mettre mon locataire à la porte en Wallonie ?,Droit immobilier,I put an apartment or a house for rent (main residence lease).Can I put my tenant at the door in Wallonia?,Can I put my tenant at the door in Wallonia if I put an apartment or house for rent there?,Puis-je mettre mon locataire à la porte de Wallonie si je mets un appartement ou une maison à louer là-bas ?
Que faire si je ne suis pas d'accord avec la décision du CPAS à Bruxelles ?,Droit immobilier,What if I disagree with the CPAS decision in Brussels?,What if I disagree with the CPAS decision?,Que faire si je ne suis pas d'accord avec la décision du CPAS?
Je vis avec ma famille en Belgique. Je me marie. Je suis étranger: peut-on demander l'annulation de notre mariage ?,Droit des étrangers,I live with my family in Belgium. I am married. I am a foreigner: can we ask for the annulment of our marriage?,I live with my family in Belgium.,Je vis avec ma famille en Belgique.
Je reçois les confidences en tant que professionnel. Dois-je dénoncer une situation de maltraitance d'enfants ?,Droit du travail,I receive the confidences as a professional. Do I have to report a situation of child abuse?,Do I have to report child abuse?,Dois-je signaler la maltraitance d'enfants?
Un mineur a signé un contrat de bail. Quelle est la valeur de ce contrat à Bruxelles ?,Droit immobilier,A minor has signed a lease agreement. What is the value of this contract in Brussels?,A minor has signed a lease agreement.,Un mineur a signé un contrat de location.
Comment mettre fin au bail de commun accord à Bruxelles ?,Droit immobilier,How can we put an end to the joint lease in Brussels?,How can we end the joint lease in Brussels?,Comment pouvons-nous mettre fin au bail commun à Bruxelles?
"Je suis parent. J'arrête de payer la contribution alimentaire, dois-je acter cela quelque part ?",Droit de la famille,"I'm a parent. I stop paying the food contribution, do I have to sign this somewhere?",Do I need to sign this somewhere if I stop paying the food contribution?,Dois-je signer quelque part si je cesse de payer la contribution alimentaire ?
"Je me sépare. En tant que cohabitants légaux, quel juge peut régler nos problèmes avant séparation ?",Droit de la famille,"As a legal cohabitant, what judge can solve our problems before separation?",What judge can solve our problems before we separate?,Quel juge peut résoudre nos problèmes avant que nous nous séparions ?
J'introduis une demande en justice. Combien dois-je payer pour introduire une procédure en justice ?,Droit pénal,How much do I have to pay to bring legal proceedings?,How much do I have to pay for legal proceedings?,Combien dois-je payer pour les poursuites judiciaires?
Je souhaite divorcer pour cause de désunion irrémédiable. Comment fixer le montant de la pension alimentaire ?,Droit de la famille,I wish to divorce because of irretrievable disunity. How do I fix the amount of maintenance?,I wish to divorce because of irretrievable disunity.,Je veux divorcer à cause d'une désunion irrémédiable.
Je divorce. Je divorce pour cause de désunion irrémédiable. Dans quels cas choisir le divorce pour cause de désunion irrémédiable ?,Droit de la famille,"I'm divorced because of irremediable disunity, in which cases do I choose divorce because of irretrievable disunity?",In which cases do I choose divorce because of irremediable disunity?,Dans quels cas dois-je choisir le divorce à cause d'une désunion irrémédiable?
"Je ne suis pas d'accord avec l'état des lieux, que faire à Bruxelles ?",Droit immobilier,"I do not agree with the state of affairs, what to do in Brussels?","I don't agree with the state of affairs, what should I do?","Je ne suis pas d'accord avec la situation, que dois-je faire ?"
"L’appartement que je loue a été vendu, le nouveau propriétaire peut-il me mettre dehors à Bruxelles ?",Droit immobilier,"The apartment I rent has been sold, can the new owner put me out in Brussels?",Can the new owner of the apartment that I rent put me in Brussels?,Le nouveau propriétaire de l'appartement que je loue peut-il me mettre à Bruxelles ?
"Mon ami a son adresse de référence chez moi, peut-on saisir mes meubles ?",Droit financier,"My friend has his reference address at my house, can we grab my furniture?",Can we grab my furniture from my friend's house?,On peut prendre mes meubles chez mon ami ?
"L'arbre de mon voisin me dérange, quelles sont les distances de plantation ?",Droit immobilier,"My neighbor's tree bothers me, what are the planting distances?",What are the planting distances of my neighbor's tree?,Quelles sont les distances de plantation de l'arbre de mon voisin ?
Après combien de temps ma facture d'eau est-elle prescrite à Bruxelles ?,Droit financier,After how long is my water bill prescribed in Brussels?,How long is my water bill in Brussels?,Combien de temps dure ma facture d'eau à Bruxelles ?
Nous sommes séparés mais pas divorcés. Mon conjoint va-t-il hériter de mes biens à mon décès ?,Droit financier,We are separated but not divorced. Will my spouse inherit my property when I die?,I don't know if my spouse will inherit my property when I die.,Je ne sais pas si mon conjoint héritera de mes biens quand je mourrai.
Je me sépare. Comment introduire une demande de mesures urgentes et provisoires devant le tribunal de la famille ?,Droit de la famille,How do I file an application for urgent and interim measures before the family court?,How do I file an application for urgent and interim measures in the family court?,Comment puis-je déposer une demande de mesures urgentes et provisoires devant le tribunal de la famille?
Est-ce légal de conclure un bail à vie à Bruxelles ?,Droit immobilier,Is it legal to enter into a lifetime lease in Brussels?,Is it possible to enter into a lifetime lease in Brussels?,Est-il possible de conclure un bail à vie à Bruxelles?
J’hésite à faire un testament ou une donation. Que choisir ?,Droit financier,I hesitate to make a will or a donation.,I hesitate to make a will.,J'hésite à faire un testament.
Je suis en séjour illégal en Belgique (sans papiers). Puis-je me marier en Belgique ?,Droit des étrangers,I am illegally staying in Belgium (without papers). Can I get married in Belgium?,Can I get married in Belgium?,Je peux me marier en Belgique ?
Puis-je avoir un premier conseil juridique gratuit (aide juridique de 1ère ligne) ?,Droit pénal,Can I have a free first legal advice (first line legal aid)?,Is it possible to have a free first legal advice?,Est-il possible d'avoir un premier conseil juridique gratuit?
Mon propriétaire peut-il me réclamer des intérêts de retard en Wallonie ?,Droit immobilier,Can my owner claim interest from me in Wallonia?,Can my owner claim interest in me in Wallonia?,Mon propriétaire peut-il réclamer des intérêts pour moi en Wallonie ?
Qu’est-ce qu’un extrait de casier judiciaire (certificat de bonnes vie et moeurs) ?,Droit pénal,What is a criminal record extract (certificate of good life and morals)?,A criminal record extract is a certificate of good life and morals.,Un extrait de casier judiciaire est un certificat de bonne vie et de moralité.
"Si je ne paie pas mon crédit à la consommation, peut-on reprendre ma voiture ?",Droit financier,"If I don't pay my consumer credit, can we take my car back?",Can we take my car back if I don't pay my credit card bill?,Est-ce qu'on peut récupérer ma voiture si je ne paie pas ma facture de carte de crédit ?
"Je suis en règlement collectif de dettes, que faire si j'hérite ?",Droit financier,"I'm in collective debt settlement, what if I inherit?","I'm in debt settlement, what if I die?","Je suis en règlement des dettes, et si je meurs ?"
Puis-je demander qu’on enlève certaines mentions de mon casier judiciaire ?,Droit pénal,May I ask that certain records be removed from my criminal record?,Is it possible for me to ask that certain records be removed from my criminal record?,Est-il possible pour moi de demander que certains dossiers soient retirés de mon casier judiciaire?
Je pense que mon logement est insalubre. Je contacte le propriétaire. Mon logement est insalubre et le propriétaire ne réagit pas. Puis-je faire effectuer les travaux nécessaires et lui envoyer la facture en Wallonie ?,Droit immobilier,I think my accommodation is unsanitary. I contact the owner. My accommodation is unsanitary and the owner does not react. Can I have the necessary work done and send him the bill in Wallonia?,The owner doesn't react when I contact him about my accommodation being unsanitary.,Le propriétaire ne réagit pas quand je le contacte au sujet de mon hébergement étant insalubre.
