query,super_category
Do I need a lawyer?,Droit pénal
Do I have to have fire insurance if I'm a tenant?,Droit immobilier
How to draft an inventory in Brussels?,Droit immobilier
Can we claim rent from a roommate who has gone to Brussels?,Droit immobilier
I live with my family in Belgium. I have a child in Belgium. I am a foreigner. Is my child born in Belgium Belgian?,Droit des étrangers
How is an expulsion going?,Droit immobilier
Can I go back to my country even if I have not served my entire prison sentence in Belgium?,Droit pénal
Do I need the other parent's agreement to go on vacation with my child?,Droit de la famille
Can the family judge force one of us to leave the family home?,Droit de la famille
What should be done in case of abuse of access in Brussels?,Droit immobilier
Can my owner put an end to the life lease in Brussels?,Droit immobilier
Do I have to be faithful to my husband?,Droit de la famille
"I'm an adult, I claim exceptional merits, and how is the naturalization application process going?",Droit des étrangers
Do I have to apply for a town planning permit if I divide my house into two in Brussels?,Droit immobilier
I am a victim of domestic violence and I don't know what my rights are.,Droit de la famille
"If I don't have contact with my children, do I still have to pay a food contribution?",Droit de la famille
What does an intentional act mean in the context of family insurance?,Droit financier
What is a summary order for payment?,Droit financier
What is a criminal record extract (certificate of good life and morals)?,Droit pénal
We are separated but not divorced. Will my spouse inherit my property when I die?,Droit financier
Do I have to leave before the expulsion is implemented?,Droit immobilier
I live with my family in Belgium. I'm getting married. Can I appeal if I'm refused my marriage?,Droit des étrangers
Who appoints the guardian?,Droit de la famille
My ex is threatening to ask the judge for money.,Droit financier
Is my neighbor's tree over 30 years old?,Droit immobilier
I'm summoned to court.,Droit pénal
Do I have to report my pregnancy to the job interview?,Droit de la protection sociale
Can I have the free assistance of a lawyer (second line legal aid - ex pro deo)?,Droit pénal
What is the appeal against the decision of the Legal Aid Office?,Droit pénal
How can I apply for a collective debt settlement?,Droit financier
What is a motion?,Droit pénal
What is the cost of the judicial officer?,Droit financier
Am I going to be fined for not paying for my parking?,Droit financier
"I don't have a room for every child, will the judge refuse me to house my children?",Droit de la famille
What can I do if I disagree with the decision of the police court?,Droit pénal
What if I can't agree with the other parent on something?,Droit de la famille
Do I have to install fire detectors in Wallonia?,Droit immobilier
Does the official rental lease end in Brussels?,Droit immobilier
Is it against the law to tag a wall?,Droit pénal
"If the other parent made a decision that I don't agree with, what would happen?",Droit de la famille
Is my rental lease also a principal residence lease in Brussels?,Droit immobilier
I have been summoned to court and am waiting for a new judgement.,Droit pénal
"I don't have a room for every child, will the judge refuse me to house my children?",Droit de la famille
When can the justice of the peace terminate the lease in Brussels?,Droit immobilier
"If I am overindebted, am I entitled to legal aid?",Droit financier
Can the police come and search my house if they suspect I have cannabis?,Droit pénal
"For what, to whom and when is the extension for exceptional circumstances in Brussels useful?",Droit immobilier
What are the types of rental guarantees in the city?,Droit immobilier
What happens if I stay in the same place for 9 years?,Droit immobilier
"If I have a problem with Onem, who should I contact?",Droit de la protection sociale
I live with my family in Belgium.,Droit des étrangers
Should we get a lawyer to represent us in the labour court?,Droit de la protection sociale
Can I change my lawyer if I'm not satisfied?,Droit pénal
Is it possible to get the extension for exceptional circumstances in Brussels?,Droit immobilier
Can I cancel the student lease I signed for next year?,Droit immobilier
"I signed a declaration of legal cohabitation. We are legal cohabitants, what consequences on the relationship with our children?",Droit de la famille
What is the cost of the judicial officer?,Droit pénal
I signed a declaration of legal cohabitation. Do I have to live under the same roof as my legal cohabitant?,Droit de la famille
How long is my parking debt prescribed?,Droit financier
I rent a kot in Wallonia.,Droit immobilier
"My child is stillborn, can we declare his birth?",Droit de la protection sociale
"If I get caught flying in a store, what do I risk?",Droit pénal
Are my debts written off at the end of the debt settlement?,Droit financier
I have been in Belgium for at least 10 years.,Droit des étrangers
Who oversees the execution of my work sentence?,Droit pénal
I live with my parents and work. How can I challenge the amount I have to pay?,Droit financier
I am a parent. Can I index the food contribution How do I calculate this indexation?,Droit de la famille
Can the judge grant me a payment period if I don't repay the money loaned?,Droit financier
Can my owner claim any rent indexing arrears in Brussels?,Droit immobilier
Will he pay me for the help if the CPAS is found guilty?,Droit de la protection sociale
Am I entitled to legal aid (ex pro deo) if I am a foreigner?,Droit pénal
Can a single roommate terminate the unofficial lease of co-location before maturity in Wallonia?,Droit immobilier
I'm moving into life. I live in a co-location. I work. How can I dispute the amount I have to pay?,Droit financier
"Two years after my lease ends in Wallonia, can the owner send me a bill of charges?",Droit immobilier
What is the role of the police with regard to offences?,Droit pénal
How long after my TV royalty debt is prescribed?,Droit financier
Can I benefit from legal aid (ex-pro deo) if I am a owner?,Droit pénal
Who exercises parental authority if one of the parents is alone in making the decisions?,Droit de la famille
Who pays for the damage to housing in Brussels?,Droit immobilier
I'm summoned to court.,Droit pénal
How is the reintegration journey going?,Droit de la protection sociale
How can we put an end to the student lease agreed in Brussels?,Droit immobilier
Can I ask for a conciliation to settle a rental dispute in Wallonia?,Droit immobilier
How long is my consumer credit debt prescribed?,Droit financier
I receive the confidences as a professional.,Droit du travail
How can I request urgent and interim measures in the family court?,Droit de la famille
I divorce. I divorce by mutual consent. How can I actually make divorce agreements by mutual consent?,Droit de la famille
Is the state of play mandatory in Brussels?,Droit immobilier
Do I have to ask my ex- wife's permission to spend money on my child?,Droit de la famille
Is it possible that I bring an urgent action?,Droit de la protection sociale
What happens if there is no state of affairs in Brussels?,Droit immobilier
My ex doesn't pay the food tax because I'm a parent.,Droit de la famille
"If I don't pay my consumer credit, can we take my income?",Droit financier
"We are not married, what name will our child bear if his father recognizes him after he has been declared to the commune?",Droit de la famille
I live with my family in Belgium. I am married. I am a foreigner: can we ask for the annulment of our marriage?,Droit des étrangers
What is debt mediation?,Droit financier
Is it possible to split up by mutual agreement without a declaration of legal cohabitation?,Droit de la famille
"What is reimbursed as a matter of priority: principal, interest or costs?",Droit financier
Can I challenge the court's decision if I disagree?,Droit de la protection sociale
What is the guardianship of a minor child?,Droit de la famille
Is there a right to a birth allowance if a baby is stillborn?,Droit de la protection sociale
What are the consequences of our separation as a legal cohabitant?,Droit de la famille
I am married. Do I have to pay my spouse's professional debts?,Droit de la famille
I file a complaint with a mediator. The company is located in Belgium. How does the consumer ombudsman deal with my complaint?,Droit financier
I make sure the owner has a permit.,Droit immobilier
How do I check the charges that are charged to me in Brussels?,Droit immobilier
I'm hosting a friend/friend. My friend/closer occupies one of my unoccupied apartments. Do I have to enter into a lease agreement?,Droit immobilier
I go into life. I live alone. I work. How can I contest the amount I have to pay?,Droit financier
What income is considered for legal aid if I live with someone I have a conflict with?,Droit pénal
What if I don't agree with the decisions made about my children?,Droit de la famille
Who pays for the last illness?,Droit financier
I divorce. I divorce because of irretrievable disunity. We agree to divorce. When will we be officially divorced (divorce because of irretrievable disunity)?,Droit de la famille
Do I have to hire a lawyer to challenge the decision of the social security agency?,Droit de la protection sociale
What happens when I finish my work sentence?,Droit pénal
I put a kot for rent in Wallonia.,Droit immobilier
We're not married. Can I be asked for financial assistance for the child if I'm his biological father but not legal?,Droit de la famille
Who has to pay for the damage caused by a robbery in Brussels?,Droit immobilier
What types of decisions are under parental authority?,Droit de la famille
How can I appeal the CPAS decision to the court?,Droit de la protection sociale
How to open bank accounts after a death?,Droit financier
"I'm summoned to court. I've received a judgment by default, what to do?",Droit pénal
"If one of the legal cohabitants dies, what happens?",Droit de la famille
"I'm a friend of the victim of domestic violence, can I file a complaint?",Droit de la famille
"If I live with others, what income is considered for legal aid?",Droit pénal
Do I have to install fire detectors in Wallonia?,Droit immobilier
"When I have been revoked, can I introduce a new collective debt settlement?",Droit financier
What is the fate of the house we bought together?,Droit de la famille
I think my accommodation is unsanitary. I address the justice of the peace. How do I apply to the justice of the peace in case of unsanitaryness?,Droit immobilier
How am I responsible for my child?,Droit de la famille
Do I have to recognize our child if I'm becoming a legal cohabitant?,Droit de la famille
The parents are not married.,Droit de la famille
Do I need to sign this somewhere if I stop paying the food contribution?,Droit de la famille
"As a legal cohabitant, under what conditions can urgent and temporary measures be requested from the family judge?",Droit de la famille
I file a complaint with a mediator. The company is located in Belgium. Do I have to pay to file a complaint with the Ombudsman for the consumer?,Droit financier
"I'm a witness to an offence. I'm summoned for a police hearing as a witness, what's going to happen?",Droit pénal
"I signed a declaration of legal cohabitation. The owner sent his notice to a single legal cohabitant, is that valid?",Droit de la famille
A minor has signed a lease agreement. What is the value of this contract in Brussels?,Droit immobilier
I'm getting into life. I live with my parents. I don't work. How can I dispute the amount I have to pay?,Droit financier
Can the property administrator object to an expense?,Droit de la famille
What types of decisions are under parental authority?,Droit de la famille
Is collective debt settlement a measure of expulsion?,Droit financier
Can the CPAS help me create a rental guarantee?,Droit immobilier
Does the family RC insurance cover the damage done to my child?,Droit financier
Do I have to leave before the expulsion takes place?,Droit immobilier
Is it possible for the child to decide which parent he wants to live with?,Droit de la famille
Can my owner end the lease without a reason?,Droit immobilier
Am I entitled to legal aid (ex pro deo) if I am a minor?,Droit pénal
I was sentenced to payment of my debt. Can this judgment be executed directly?,Droit financier
Do we need to make a marriage contract?,Droit de la famille
I'm a victim of an offence. Is the police obliged to follow up on my complaint?,Droit pénal
I signed a declaration of legal cohabitation. I receive an inheritance. Does my legal cohabitant also benefit from it?,Droit de la famille
Do I have to be personally present at the hearings in the family court if I have initiated the proceedings?,Droit de la famille
I'm a victim of domestic violence. Am I concerned about domestic violence?,Droit de la famille
Do I have to be accountable to someone as a MENA guardian?,Droit des étrangers
When do I have to pay my debt?,Droit financier
Is my rent indexing automatic in Brussels?,Droit immobilier
Do I still have to pay the food contribution if my 23-year-old son is still in the first place?,Droit de la famille
"If his father recognizes him after he has been declared to the commune, what name will our child bear?",Droit de la famille
What is criminal mediation?,Droit pénal
Is it possible that I am entitled to legal aid if I am imprisoned?,Droit pénal
What if the owner abuses access in Wallonia?,Droit immobilier
I'm married to a Belgian and I don't have a birth certificate.,Droit des étrangers
Should I report my pregnancy at the job interview?,Droit de la famille
I confide in a professional. How do I know if my interlocutor is bound by professional secrecy?,Droit du travail
Can my owner do any work while I occupy the accommodation in Brussels?,Droit immobilier
What kind of sanctions do I risk if I work in the dark?,Droit du travail
Who actually manages the budget of the protected person in collective settlement of debts?,Droit de la famille
Is my lease a student lease?,Droit immobilier
Can I ask for a conciliation to settle a rental dispute in Brussels?,Droit immobilier
Can the CPAS make deductions from my RIS?,Droit de la protection sociale
May I go to the justice of the peace to resolve the rental dispute?,Droit immobilier
Can the judge grant me a collective debt settlement if I have made mistakes?,Droit financier
I'm married. We're married. Do I have to recognize my child?,Droit de la famille
Who needs to fix the adjoining wall?,Droit immobilier
Do I have to pay my spouse's debts?,Droit de la famille
Where and how to declare birth?,Droit de la protection sociale
Is all of my convictions included in my criminal record?,Droit pénal
Can I challenge the decision of the doctor-counsel?,Droit de la protection sociale
I live with my family in Belgium. I get married. What if I don't have a birth certificate to make my marriage declaration?,Droit des étrangers
I do not agree with the decision of the doctor-counsel. Can I challenge it?,Droit de la protection sociale
What is the authority of a minor child?,Droit de la famille
"I'm getting a divorce, in what ways can we get a divorce?",Droit de la famille
Can we get my lunchchecks?,Droit financier
Do I have to pay real estate agency management fees in Brussels?,Droit immobilier
How do I know if the person I'm talking to is bound by professional confidentiality?,Droit du travail
Do any records of the criminal record disappear after a certain period of time?,Droit pénal
I signed a declaration of legal cohabitation.,Droit de la famille
Who needs to fix the wall next to it?,Droit immobilier
Is it possible to invoke the statute of limitations not to pay my debt?,Droit financier
Do I have to pay my father's debts?,Droit financier
Do I have to hire a lawyer to challenge the decision of the social security agency in Wallonia?,Droit immobilier
The CPAS can recover social assistance from maintenance debtors.,Droit de la protection sociale
What if I divorce in my debt settlement?,Droit financier
When does the notice period start to run in a 9-year lease in Brussels?,Droit immobilier
Is an observation person unable to manage his assets?,Droit de la famille
What is the role of the guardian of a minor child?,Droit de la famille
What happens to the lease if the tenant dies in Wallonia?,Droit immobilier
Does the official rental lease automatically end at maturity in Brussels?,Droit immobilier
"If the mother divorces less than 300 days before birth, what steps are taken to be recognized as the father of my child?",Droit de la famille
"If I make noise at night in my garden or in the street, what do I risk?",Droit immobilier
Is my lease a short-term lease?,Droit immobilier
Who controls the functioning of guardianship?,Droit de la famille
How and how often do home visits take place in Brussels?,Droit immobilier
I divorce. I divorce by mutual consent. What is divorce by mutual consent?,Droit de la famille
I am a victim of domestic violence. Can I ask my (ex) spouse for financial assistance if we split up?,Droit de la famille
Are my financial difficulties temporary or recurrent?,Droit financier
Will anyone care if I'm in collective debt settlement?,Droit financier
I am married. Can I sell the furniture of the house without my spouse's consent?,Droit de la famille
Who is competent in matters of healthlessness?,Droit immobilier
Do I have to report myself or admit my guilt to the police?,Droit pénal
Do I have to install fire detectors in Wallonia?,Droit immobilier
What if the owner abuses access in Wallonia?,Droit immobilier
Can I refuse to work overtime or night work?,Droit du travail
Is it possible for the owner to end the rental lease before it ends in Brussels?,Droit immobilier
How to change your name?,Droit de la famille
I am a foreigner and have a child in Belgium.,Droit des étrangers
What happens if I don't have fire insurance?,Droit financier
Does the long-term lease automatically end at maturity in Brussels?,Droit immobilier
A minor has signed a lease agreement.,Droit immobilier
How can I terminate my student lease in Brussels?,Droit immobilier
I am married. Do I have to live under the same roof as my husband?,Droit de la famille
Do I have to go to court in person?,Droit pénal
I'm becoming a legal cohabitant. What steps do we have to take to become a legal cohabitant?,Droit de la famille
I get the confidences as a professional.,Droit du travail
I file a complaint with a mediator. The company is located in Belgium. What if my complaint has not been lodged with the competent mediator?,Droit financier
I live in a common-law relationship. Who owns the house built together on my land?,Droit de la famille
What are my rights when I'm a suspect?,Droit pénal
I signed a declaration that we are legal cohabitants.,Droit de la famille
Is the prosecutor obligated to follow up on my complaint?,Droit pénal
Do I have to take a medical examination before returning to a suitable job?,Droit de la protection sociale
Do I need to go to court in person?,Droit pénal
Can I sign several short-term leases in Brussels?,Droit immobilier
Should a lawyer be assisted in the process of placing property and/or the person under administration?,Droit de la famille
What if the other parent doesn't comply with the accommodations set by the judge?,Droit de la famille
I don't know what tasks to perform for my work sentence.,Droit pénal
What rules apply to my lease in Wallonia?,Droit immobilier
What's professional secrecy for?,Droit du travail
Do you need a minimum number of debts or a minimum amount of debt to be able to introduce a collective debt settlement?,Droit financier
Can the police search me for drugs?,Droit pénal
What do I do with my furniture if I'm kicked out?,Droit financier
"We're married, we're separated, are I going to be recognized as the child's father?",Droit de la famille
What are the penalties if I broke a car?,Droit pénal
What is the cost of a collective debt settlement procedure?,Droit financier
What will happen after I file a complaint about domestic violence?,Droit de la famille
What are the consequences of our separation with regard to our children?,Droit de la famille
"Do the school, the doctor, etc. still have to ask for the consent of both parents for decisions concerning the child?",Droit de la famille
After how long is my water bill prescribed in Brussels?,Droit financier
Where can I find a debt broker?,Droit financier
What are the problems of using a family mediator?,Droit de la famille
What happens if I don't pay the food contribution for my children anymore?,Droit financier
Is it possible for my owner to end the lease for his children to live in Brussels?,Droit immobilier
How and how often do home visits take place in Wallonia?,Droit immobilier
Can my landlord expel me if I don't pay my rent anymore?,Droit financier
Can we seize my furniture for my roommate's debts?,Droit immobilier
Does the biological father have to pay maintenance for my child?,Droit de la famille
Does the family RC insurance cover all the damage caused by my child?,Droit financier
I'm an adult. I'm stateless. What if I don't have a birth certificate for my application for citizenship?,Droit des étrangers
I didn't sign a lease.,Droit immobilier
Can all arrangements for the accommodation of children be foreseen in advance?,Droit de la famille
Why should the child be declared to the commune?,Droit de la famille
The owner doesn't reimburse me for the excess of my expenses.,Droit immobilier
How to modify the measure of administration of property and/or the person?,Droit de la famille
I was divorced because of irremediable disunity. Can I change the amount of support?,Droit de la famille
What if we can't get the detailed medical certificate?,Droit de la famille
How do I file an application for urgent and interim measures before the family court?,Droit de la famille
I'm a tenant.,Droit financier
Can I bring an action in the event of a negative opinion regarding my application for nationality?,Droit des étrangers
I do not agree with the judgement of the Youth Court. Do I have an appeal in Wallonia?,Droit de la famille
What is Collective Debt Resolution (CDR)?,Droit financier
"I'm hosting someone for free, can I get rid of him?",Droit immobilier
I live in a relationship with a common-law spouse.,Droit de la famille
Can I be asked to repair the material damage caused by the fight?,Droit pénal
Does the elderly assistance allowance decrease if I live with other people?,Droit immobilier
Where do I get my criminal record?,Droit pénal
Is a written lease required in Wallonia?,Droit immobilier
What are the appeals against eligibility decisions?,Droit financier
I make sure the owner has obtained a rental permit. Can the rental permit be withdrawn?,Droit immobilier
Can my owner claim interest from me in Wallonia?,Droit immobilier
Does the biological father have to pay maintenance for my child?,Droit de la famille
"If the father doesn't recognize my child, what name will he give him?",Droit de la famille
What is professional secrecy for?,Droit du travail
I live with my partner in a house on my land.,Droit de la famille
How much does my property administrator cost me?,Droit de la famille
I am an adult. I am stateless. Under what conditions can I apply for Belgian nationality if I am stateless?,Droit des étrangers
Who is competent in healthlessness?,Droit immobilier
What is a remission?,Droit pénal
Can I cancel the student lease I signed for next year in Brussels?,Droit immobilier
"If I'm expelled, what do I do with my furniture?",Droit financier
"If I don't have a birth certificate for my application for citizenship, what will I do?",Droit des étrangers
"Someone in debt who doesn't want to introduce RCD, what can I do?",Droit financier
I signed a declaration of legal cohabitation.,Droit de la famille
What remedies should be used against abuse in a recovery?,Droit financier
What should creditors do when settling debts collectively?,Droit financier
What is a summary order for payment procedure?,Droit financier
Can I nominate my trusted person in advance?,Droit de la famille
Can my companion put me at the door of our house if I haven't signed the lease agreement?,Droit de la famille
What do I risk if I give my future employer a fake diploma or a fake resume?,Droit du travail
I am an adult. I have been in Belgium for at least 10 years. How do I make the declaration of Belgian nationality if I have been in Belgium for 10 years?,Droit des étrangers
Can I sell the furniture of the house without my spouse's consent?,Droit de la famille
What if the other parent made a decision that I disagreed with?,Droit de la famille
I am summoned to court. What is the joint motion (before called voluntary appearance)?,Droit pénal
Can we claim rent from a roommate who has gone to Brussels?,Droit immobilier
My accommodation is recognized as uninhabitable because of unsanitaryness. My accommodation is subject to an uninhabitable order because of unsanitaryness. Should I be relocated to Wallonia?,Droit immobilier
"My owner doesn't do the necessary repairs, can I break the lease in Brussels?",Droit immobilier
Can one of us put the other at the door?,Droit de la famille
I'm being summoned to court.,Droit pénal
Do I have to leave before the expulsion takes place?,Droit immobilier
"I was sentenced to a prison sentence, under what conditions can I obtain electronic surveillance?",Droit pénal
Should a lawyer be involved in the process of placing property or the person under administration?,Droit de la famille
How do I know if someone is under the administration of property and/or the person?,Droit de la famille
Are all my debts written off at the end of the collective debt settlement?,Droit financier
Can I invoke the statute of limitations not to pay my debt?,Droit financier
What happens once I have completed my work sentence?,Droit pénal
Is the rental guarantee compulsory?,Droit immobilier
What procedure in case of default of payment of my water bill in Wallonia?,Droit financier
Can the police search my house if they suspect I have cannabis?,Droit pénal
"If the mother is married to someone other than the father, can I recognize my child?",Droit de la famille
Is it possible for a single roommate to end the unofficial lease of co-location before maturity in Wallonia?,Droit immobilier
I am an adult. I was born in Belgium. On what conditions can I apply for Belgian nationality if I was born in Belgium?,Droit des étrangers
Do I have to install fire detectors in Brussels?,Droit financier
What are the consequences of the principal residence lease in Brussels?,Droit immobilier
When should I tell my employer that I'm pregnant?,Droit de la protection sociale
Can I not listen to my music with the maximum volume?,Droit immobilier
"If we're married, who has to pay the loan back?",Droit de la famille
What if I don't agree with the Family Court ruling?,Droit de la famille
"We're married, what will our child's name be?",Droit de la famille
The protection of vulnerable people?,Droit de la protection sociale
Do you still have to take a medical exam before you get back to work?,Droit de la protection sociale
What's going to happen when I'm summoned for a police hearing?,Droit pénal
Can I challenge the decision to place property and/or the person under administration?,Droit de la famille
"I have a procedure in another judicial district, what do I do?",Droit pénal
My child's name is wrongly spelled in his birth certificate. Can I have this mistake corrected?,Droit de la famille
Can I leave before the end of the notice period?,Droit immobilier
Can the person appointed by the judge be the debt mediator of the RCD be objected to by the creditor?,Droit financier
What is a mortgage credit?,Droit financier
How do I make an assessment of the situation in Brussels?,Droit immobilier
I signed a declaration of legal cohabitation.,Droit de la famille
May I ask the judge to take urgent and temporary measures in relation to our property?,Droit de la famille
Under what conditions can the contract for medical force majeure be broken?,Droit du travail
What is the friendly settlement chamber?,Droit de la famille
I wish to divorce because of irremediable disunity.,Droit de la famille
"What happened on September 1, 2019?",Droit de la famille
I put an apartment or a house for rent in Wallonia. How do I evict my tenant?,Droit immobilier
Who pays the property discount?,Droit financier
How long is my mortgage credit debt?,Droit financier
What happens if I don't pay my mortgage credit?,Droit financier
Who has to pay for funeral expenses?,Droit financier
"If I disagree with the decision of the police court, what can I do?",Droit pénal
"Tax or royalty, what's the difference?",Droit financier
What do I risk if I make noise at night in my garden or in the street?,Droit immobilier
Can I end the lifetime lease in Brussels?,Droit immobilier
"If there is no state of affairs, what should I do?",Droit immobilier
Where and how to apply for the administration of property and/or the person?,Droit de la famille
I don't know how to recognize my child before he is born.,Droit de la famille
Can the family judge force one of us to leave the family home?,Droit de la famille
"We're not married, what name will my child bear if the father doesn't recognize him?",Droit de la famille
Do I have to pay for food?,Droit de la famille
Can I change a trusted person?,Droit de la famille
Is it possible for me to be offered a certain amount of money without being convicted by a judge?,Droit pénal
How can I challenge a refusal of reference address?,Droit immobilier
Where can I find an amicable debt mediator?,Droit financier
"My spouse died and I have to pay the rent, but the account is blocked.",Droit financier
"The apartment I rent has been sold, can the new owner put me out in Brussels?",Droit immobilier
How long after my application for collective settlement of debts is filed will I have the judge's answer?,Droit financier
Can I introduce a new collective debt settlement when I have been revoked?,Droit financier
What is a consumer credit?,Droit financier
I file a complaint with a mediator. The company is located in Belgium. How soon will the consumer mediator answer me?,Droit financier
How much does a family mediation cost?,Droit de la famille
What rules apply to my lease in Brussels?,Droit immobilier
Can we claim rent from a roommate?,Droit immobilier
What if the other parent made a decision that I disagreed with about our child?,Droit de la famille
"If the father doesn't recognize my child, what name will he give him?",Droit de la famille
What is the role of the debt mediation?,Droit financier
How do I make an assessment of the situation?,Droit immobilier
I am married. Do I need to help my spouse's parents who are in need?,Droit de la famille
May I contact the justice of the peace to resolve the rental dispute in Wallonia?,Droit immobilier
How do I give up a succession?,Droit financier
Is an expulsion quick in Wallonia?,Droit immobilier
After how long is my gas and electricity bill prescribed in Brussels?,Droit financier
Can I be kicked out of Wallonia in the winter?,Droit immobilier
Can I leave before the end of the notice period?,Droit immobilier
What is Collective Debt Resolution?,Droit financier
I live with my family in Belgium.,Droit des étrangers
"We split up, who has to pay the rent?",Droit de la famille
Can the owner send me a bill of charges two years after the end of my lease in Wallonia?,Droit immobilier
Can the owner send me a statement of charges 2 years after the end of my lease in Brussels?,Droit immobilier
Where do I ask for my criminal record?,Droit pénal
Can a bond of filiation between a mother and her child be canceled?,Droit de la famille
Can I get married in Belgium?,Droit des étrangers
I am a victim of domestic violence.,Droit de la famille
"I have a procedure in Dutch, what to do?",Droit pénal
With which judge can my creditor have me sentenced to payment of my debt?,Droit financier
"If my lease is not registered, can I terminate it without notice or compensation in Brussels?",Droit immobilier
Can I prun the tree or have it cut?,Droit immobilier
I divorce. I divorce because of irremediable disunion. What happens if my spouse now agrees to divorce?,Droit de la famille
How to get the rental guarantee in Brussels?,Droit immobilier
What's going to happen when I'm summoned to the police court?,Droit pénal
"If I don't pay my mortgage credit, what will happen?",Droit financier
What happens when the protected person dies?,Droit de la famille
"If a professional spills the beans, what are my remedies?",Droit du travail
"If my owner works in my home, can I break the lease in Brussels?",Droit immobilier
What rights do I have as a witness?,Droit pénal
Do we have to make a legal cohabitation agreement?,Droit de la famille
How long is my food contribution debt prescribed?,Droit financier
The landlord did not register the lease.,Droit immobilier
What are the children covered by family RC insurance?,Droit financier
I address the police because I'm the victim of a sleep merchant.,Droit immobilier
I live with my family in Belgium. I get married. How do I get married in Belgium?,Droit des étrangers
Do I have any contact with my grandsons?,Droit de la famille
Are all convictions included in my criminal record?,Droit pénal
The landlord did not register the lease.,Droit immobilier
I bailed for a person who is in collective debt settlement (CDR). What should I do?,Droit financier
What decisions are under parental authority?,Droit de la famille
What procedure must the CPAS follow to ask my maintenance debtors to repay the RIS?,Droit de la protection sociale
Do I have to install fire detectors in Wallonia?,Droit immobilier
How long is my hospital bill prescribed?,Droit financier
Is it possible for the owner to send a statement of charges two years after my lease ends?,Droit immobilier
Is it legal to enter into a lifetime lease in Brussels?,Droit immobilier
How often do home visits take place in Wallonia?,Droit immobilier
The parents are not married together. The child's father is married to someone other than the mother. Can I be forced to establish a father-child relationship if I am married to someone other than the mother?,Droit de la famille
How to find the addresses and schedules of legal aid offices?,Droit pénal
"If none of the parents can make decisions, who exercises parental authority?",Droit de la famille
How often do home visits take place in Wallonia?,Droit immobilier
I put a kot for rent (common law lease). For which accommodation is the rental permit required in Wallonia?,Droit immobilier
"If I'm late for payment in Wallonia, can my owner expel me?",Droit immobilier
Do I have to pay alimony?,Droit de la famille
What is the judge to turn to for my food contributions?,Droit de la famille
"My owner doesn't do the necessary repairs, can I do them in his place in Brussels?",Droit immobilier
Can the protected person take a subscription?,Droit de la famille
After how long is my gas and electricity bill prescribed in Wallonia?,Droit financier
Is debt taken into account for legal aid if I am in debt?,Droit pénal
What name will our child be given if his father recognizes him before or at birth?,Droit de la famille
Can I marry someone of the same sex?,Droit de la famille
Is it possible for the usher to grab a piece of furniture that doesn't belong to me?,Droit financier
"If there is a problem with filiation, which court should you go to?",Droit de la famille
I am a salaried worker. Can I refuse to work overtime or night work?,Droit du travail
"As a legal cohabitant, what measures can the family judge take with regard to our children in the event of separation?",Droit de la famille
Can the justice of the peace refuse the choice of a guardian?,Droit de la famille
"I'm a parent, how do I claim extraordinary expenses from my ex-wife?",Droit de la famille
What do I do if I start a fire?,Droit pénal
Can creditors object to the person appointed by the judge being the debt mediator of the RCD?,Droit financier
I live as a couple. Who owns the house built together on my land?,Droit de la famille
Can my owner end the lease to sell the place I'm in?,Droit immobilier
Is it possible for a single roommate to end their official rental lease before the deadline?,Droit immobilier
The parents of a child are not married to each other.,Droit de la famille
The parents of a child are not married to each other.,Droit de la famille
I rent a caravan in a year-round campsite.,Droit immobilier
What are the risks if I give my future employer a fake degree or resume?,Droit du travail
Can I recognize a child after having managed to have a bond of filiation cancelled with his father?,Droit de la famille
I signed a declaration of legal cohabitation.,Droit de la famille
I don't know if my spouse will inherit my property when I die.,Droit financier
Can the family judge force one of us to leave the family home?,Droit de la famille
Can my owner re-evaluate the amount of the rental guarantee under lease in Brussels?,Droit immobilier
"Is my minor, in a boarding school, still covered by my insurance?",Droit financier
I hesitate to make a will or a donation.,Droit financier
The family court can intervene for urgent and temporary measures.,Droit de la famille
What happens if the person moves?,Droit de la famille
How am I responsible for my child?,Droit de la famille
Can roommates all together terminate the informal rental lease before the deadline in Brussels?,Droit immobilier
Can the amount of the rental guarantee be reexamined by my owner?,Droit immobilier
"I'm bringing a lawsuit, what's my risk if I don't respect the decision?",Droit pénal
The company is located in Belgium.,Droit financier
I'm a victim of domestic violence.,Droit de la famille
How can I break my lease in Wallonia because I just got social housing?,Droit immobilier
What is the duration of a rental lease in Brussels?,Droit immobilier
What expenses do I have to pay as a tenant?,Droit immobilier
My ex is threatening to ask the judge for a delegation of money.,Droit financier
How much does my property administrator or the person cost me?,Droit de la famille
What is the parent's obligation to support their child?,Droit de la famille
What do I risk if I give my future employer a fake diploma or a fake resume?,Droit du travail
The child's father and mother live together.,Droit de la famille
Can I stop my budget guidance?,Droit financier
I am an adult. I am married to a Belgian. Can I appeal in case of a negative opinion concerning my application for nationality?,Droit des étrangers
I am a victim of an offence. How can I claim compensation for the damage I suffered as a victim of an offence?,Droit pénal
I signed a declaration of legal cohabitation. Does the salary of one also belong to the other legal cohabitant?,Droit de la famille
"I receive the confidences as a professional. I work in a CPAS, do I have to respond to requests for information from the King's prosecutor to fight terrorism?",Droit du travail
Can I propose a debt mediation?,Droit financier
I'm married.Who has to pay the repayment of a loan if we're married?,Droit de la famille
When can the family court intervene for urgent and temporary measures?,Droit de la famille
I'm a worker who is pregnant.,Droit de la protection sociale
